drugbank_id,cas,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
DB00006,128270-60-0,-0.76,-14,4.64e-02 g/l,2.79,11.88
DB00007,53714-56-0,1.04,-2.4,3.38e-02 g/l,9.49,11.92
DB00014,65807-02-5,0.3,-5.2,2.83e-02 g/l,9.27,10.82
DB00035,16679-58-6,-1,-6.1,1.10e-01 g/l,9.5,11.77
DB00050,120287-85-6,1.33,-1.7,6.94e-03 g/l,9.5,11.79
DB00067,11000-17-2,-1.4,-7.2,1.24e-01 g/l,7.65,11.5
DB00080,103060-53-3,-0.47,-9.4,1.73e-02 g/l,2.98,9.59
DB00093,56-59-7,-1.1,-5.8,4.53e-02 g/l,11.39,10.18
DB00104,83150-76-9,0.42,-1.4,1.22e-02 g/l,11.4,10.17
DB00106,183552-38-7,2.84,-0.46,3.71e-03 g/l,9.47,10.66
DB00114,54-47-7,-0.55,-2.1,5.70e+00 g/l,1.68,4.11
DB00115,68-19-9,2.66,-3.2,2.02e-02 g/l,1.82,8.68
DB00116,135-16-0,-0.96,-4.2,2.69e-01 g/l,3.51,3.58
DB00117,71-00-1,-2.7,-3.6,7.13e+01 g/l,1.85,9.44
DB00118,29908-03-0,0.05,-5.3,1.62e+00 g/l,1.7,9.41
DB00119,127-17-3,-0.38,0.066,1.34e+02 g/l,2.93,-9.6
DB00120,63-91-2,-1.4,-1.2,4.14e+00 g/l,2.47,9.45
DB00121,58-85-5,0.17,0.32,1.22e+00 g/l,4.4,-1.9
DB00122,62-49-7,-3.6,-4.7,3.61e+00 g/l,13.97,-3.2
DB00123,56-87-1,-3.8,-3.2,1.05e+02 g/l,2.74,10.29
DB00125,74-79-3,-3.5,-3.2,2.28e+00 g/l,2.41,12.41
DB00126,50-81-7,-1.6,-1.9,2.45e+02 g/l,4.36,-3
DB00128,56-84-8,-3.5,-3.5,1.42e+02 g/l,1.7,9.61
DB00129,70-26-8,-3.6,-3.7,1.72e+02 g/l,2.67,10.29
DB00130,56-85-9,-3.3,-4,9.78e+01 g/l,2.15,9.31
DB00131,61-19-8,-3.1,-4.8,3.31e+00 g/l,1.23,4.97
DB00133,56-45-1,-3.4,-3.9,4.80e+02 g/l,2.03,8.93
DB00134,63-68-3,-1.8,-2.2,2.39e+01 g/l,2.53,9.5
DB00135,60-18-4,-2.4,-1.5,7.67e+00 g/l,2,9.19
DB00136,32222-06-3,5.51,4.35,6.67e-03 g/l,14.39,-1.3
DB00137,127-40-2,8.29,8.55,7.32e-04 g/l,18.22,-0.91
DB00138,56-89-3,-3.2,-5.9,1.68e+01 g/l,1.56,9.34
DB00140,83-88-5,-1,-0.92,6.57e-01 g/l,6.97,0.76
DB00141,7512-17-6,-2.1,-3.9,1.48e+02 g/l,11.56,-1.2
DB00142,56-86-0,-3.5,-3.2,8.06e+01 g/l,1.88,9.54
DB00143,70-18-8,-2.7,-4.9,8.79e-01 g/l,1.94,9.22
DB00144,1446756-47-3,-1,-1.6,3.70e+00 g/l,1.47,9.38
DB00145,56-40-6,-3.3,-3.4,5.52e+02 g/l,2.31,9.24
DB00146,19356-17-3,6.71,5.65,2.20e-03 g/l,18.38,-0.98
DB00147,66-72-8,0.02,0.18,1.17e+01 g/l,7.97,4.11
DB00148,57-00-1,-1.6,-2.9,4.11e+00 g/l,3.5,12.43
DB00149,61-90-5,-1.8,-1.6,6.98e+01 g/l,2.79,9.52
DB00150,73-22-3,-1.1,-1.1,1.36e+00 g/l,2.54,9.4
DB00151,52-90-4,-2.6,-2.8,2.31e+01 g/l,2.35,9.05
DB00152,70-16-6,-2.1,-3.1,1.53e-02 g/l,15.5,5.54
DB00153,50-14-6,7.59,7.05,4.33e-04 g/l,18.38,-1.3
DB00155,372-75-8,-3.3,-3.9,2.18e+01 g/l,2.27,9.23
DB00156,72-19-5,-3,-3.5,4.77e+02 g/l,2.21,9
DB00157,58-68-4,-1.4,-6.5,2.95e+00 g/l,-7,5
DB00158,59-30-3,-0.04,-0.68,7.61e-02 g/l,3.37,2.09
DB00160,56-41-7,-3,-2.8,4.47e+02 g/l,2.47,9.48
DB00161,72-18-4,-2.3,-2,2.14e+02 g/l,2.72,9.6
DB00162,68-26-8,6.38,4.69,7.58e-03 g/l,16.44,-2.2
DB00163,59-02-9,8.84,10.51,7.04e-06 g/l,10.8,-4.9
DB00165,65-23-6,-0.57,-0.95,1.61e+01 g/l,9.4,5.58
DB00167,73-32-5,-1.7,-1.5,1.14e+02 g/l,2.79,9.59
DB00168,22839-47-0,-1.2,-2.2,6.52e-01 g/l,3.53,8.53
DB00169,67-97-0,7.98,7.13,3.80e-04 g/l,18.38,-1.3
DB00170,58-27-5,1.91,1.89,5.04e-01 g/l,12.94,-7.2
DB00171,56-65-5,-0.84,-6,4.49e+00 g/l,0.9,5
DB00172,147-85-3,-2.7,-2.6,3.65e+02 g/l,1.94,11.33
DB00173,73-24-5,-0.38,-0.57,1.15e+01 g/l,10.29,5.32
DB00174,70-47-3,-3.4,-4.3,1.68e+02 g/l,2,8.43
DB00175,81093-37-0,2.23,1.65,2.42e-01 g/l,4.21,-2.7
DB00177,137862-53-4,3.68,5.27,2.34e-02 g/l,4.37,-0.11
DB00178,87333-19-5,0.92,1.47,3.90e-02 g/l,3.75,5.2
DB00179,27686-84-6,3.44,4.76,1.36e-02 g/l,9.21,-6.3
DB00180,03-03-3385,2.2,1.56,3.74e-02 g/l,13.73,-2.9
DB00181,1134-47-0,-0.82,-0.78,7.12e-01 g/l,3.89,9.79
DB00186,846-49-1,2.98,3.53,1.76e-02 g/l,10.61,-2.2
DB00187,81147-92-4,2.02,1.82,1.44e-01 g/l,14.09,9.67
DB00188,179324-69-7,0.89,1.53,5.32e-02 g/l,13.04,-0.7
DB00189,113-18-8,1.45,1.62,1.43e-01 g/l,12.88,-3.7
DB00190,28860-95-9,-0.16,-1.2,3.73e+00 g/l,2.35,5.66
DB00192,74517-78-5,3.24,3.26,8.96e-04 g/l,16.51,10.4
DB00193,27203-92-5,2.71,2.45,7.50e-01 g/l,13.8,9.23
DB00194,24356-66-9,-1.2,-2.1,1.40e+01 g/l,12.45,4.99
DB00195,63659-18-7,3,2.54,2.98e-02 g/l,14.09,9.67
DB00196,86386-73-4,0.58,0.56,1.39e+00 g/l,12.71,2.56
DB00197,97322-87-7,4.16,5.5,1.21e-03 g/l,6.61,-4.6
DB00198,196618-13-0,1.3,1.16,6.86e-01 g/l,14.03,9.31
DB00199,114-07-8,2.37,2.6,4.59e-01 g/l,12.44,8.38
DB00203,139755-83-2,1.8,1.87,4.60e-01 g/l,11.14,5.99
DB00204,115256-11-6,2.17,0.24,1.98e-02 g/l,10.15,8.99
DB00205,58-14-0,2.62,2.75,1.79e-01 g/l,17.22,7.77
DB00206,50-55-5,4.05,3.53,1.13e-02 g/l,16.29,7.39
DB00207,83905-01-5,3.03,2.44,5.14e-01 g/l,12.43,9.57
DB00209,47608-32-2,2.86,-0.5,6.68e-05 g/l,11.05,-4.5
DB00210,106685-40-9,6.06,6.46,4.01e-06 g/l,3.99,-4.8
DB00211,42794-76-3,-0.49,-0.95,4.45e+00 g/l,13.77,8.14
DB00212,126222-34-2,2.42,2.37,2.13e-02 g/l,12.32,6.74
DB00213,102625-70-7,2.11,2.18,4.95e-01 g/l,9.15,3.55
DB00214,56211-40-6,1.76,1.86,5.96e-02 g/l,5.92,4.2
DB00216,143322-58-1,3.84,3.77,1.18e-03 g/l,16.56,8.37
DB00218,151096-09-2,0.01,-0.5,1.68e-01 g/l,5.69,9.42
DB00219,14214-84-7,0.2,-0.2,1.36e-04 g/l,11.53,-4.3
DB00220,159989-64-7,4.61,4.72,1.91e-03 g/l,9.32,8.18
DB00221,79490-84-9,0.63,1.05,3.18e+00 g/l,10.01,9.01
DB00222,93479-97-1,2.82,3.12,3.84e-02 g/l,4.32,-3.7
DB00223,2557-49-5,1.91,1.34,8.53e-02 g/l,12.42,-3.3
DB00224,150378-17-9,3.26,2.81,4.82e-02 g/l,13.19,7.37
DB00226,40580-59-4,0.03,0.62,1.93e+00 g/l,19.85,12.56
DB00227,75330-75-5,4.11,3.9,2.43e-02 g/l,14.91,-2.8
DB00229,61622-34-2,-0.33,-3.1,1.29e+00 g/l,2.79,8.36
DB00230,148553-50-8,-1.4,-1.3,1.13e+01 g/l,4.8,10.23
DB00231,846-50-4,2.16,2.79,5.34e-02 g/l,10.68,-1.4
DB00232,135-07-9,0.93,0.53,8.24e-01 g/l,9.29,-3.4
DB00233,65-49-6,0.62,0.83,1.18e+01 g/l,3.68,2.19
DB00235,78415-72-2,1.04,0.33,2.09e-01 g/l,7.54,4.82
DB00238,129618-40-2,1.75,2.49,1.05e-01 g/l,10.37,5.06
DB00240,67452-97-5,2.11,1.68,1.37e-01 g/l,12.45,-2.9
DB00242,4291-63-8,-0.12,-0.28,6.35e+00 g/l,13.89,1.33
DB00243,95635-55-5,2.08,2.83,1.10e-01 g/l,13.6,7.17
DB00244,89-57-6,0.75,-0.29,1.22e+01 g/l,2.02,5.87
DB00246,146939-27-7,4.64,4.3,7.18e-03 g/l,13.18,7.09
DB00247,361-37-5,2.22,1.82,2.24e-01 g/l,15.01,7.85
DB00248,81409-90-7,2.97,2.58,6.40e-02 g/l,15.25,9.32
DB00249,54-42-2,-0.7,-0.53,2.34e+01 g/l,8.46,-3
DB00252,57-41-0,2.26,2.15,7.11e-02 g/l,9.47,-9
DB00253,2668-66-8,3.06,3.13,3.37e-02 g/l,19.14,-0.26
DB00254,564-25-0,-0.72,-3.3,6.30e-01 g/l,3.27,8.33
DB00255,56-53-1,4.62,5.19,1.09e-02 g/l,8.63,-6.5
DB00256,992-21-2,-0.27,-7.1,1.31e+00 g/l,2.51,9.77
DB00259,63-74-1,-0.16,-0.25,1.04e+01 g/l,10.99,2.27
DB00260,68-41-7,-2.3,-2.4,8.77e+02 g/l,4.21,8.36
DB00261,68475-42-3,1.95,1.94,2.79e-01 g/l,12.55,3.62
DB00262,154-93-8,1.24,1.02,1.53e+00 g/l,11.96,-5.3
DB00263,127-69-5,1.14,0.73,3.13e-01 g/l,5.8,2.17
DB00264,51384-51-1,1.8,1.76,4.02e-01 g/l,14.09,9.67
DB00266,66-76-2,1.54,-1.6,6.62e-02 g/l,-12,-3.1
DB00267,65085-01-0,-0.13,-0.83,4.46e-01 g/l,3.04,4.14
DB00268,91374-21-9,3.16,3.06,3.53e-01 g/l,13.24,10.17
DB00271,117-96-4,2.27,2.89,1.07e-01 g/l,2.17,-4.2
DB00272,105-20-4,-0.64,-0.62,1.56e+02 g/l,14.52,9.79
DB00273,97240-79-4,1.29,0.13,6.80e+00 g/l,11.09,-3.7
DB00274,56796-20-4,-0.38,-0.65,2.16e+00 g/l,3.38,-1.7
DB00275,144689-24-7,2.98,2.14,1.05e-02 g/l,0.91,5.57
DB00276,51264-14-3,4.66,3.16,3.17e-03 g/l,10.82,8.44
DB00277,58-55-9,-0.26,-0.77,2.29e+01 g/l,7.82,-0.78
DB00278,74863-84-6,0.04,-0.92,1.68e-01 g/l,3.06,11.8
DB00279,03-02-6893,0.82,2.8,1.95e-02 g/l,0.3,9.48
DB00280,05-09-3737,3.21,3.47,4.93e-02 g/l,16.19,10.42
DB00281,137-58-6,1.81,2.84,5.93e-01 g/l,13.78,7.75
DB00282,40391-99-9,-1.4,-4.5,1.58e+01 g/l,0.67,9.86
DB00284,56180-94-0,-2.7,-8.3,1.08e+02 g/l,11.83,7.03
DB00285,93413-69-5,2.69,2.74,2.30e-01 g/l,14.42,8.91
DB00287,157283-68-6,4.02,3.84,7.59e-03 g/l,13.95,-2.9
DB00288,51022-69-6,3.16,3.2,7.74e-03 g/l,13.63,-3.4
DB00290,11056-06-7,-0.41,-9.3,2.77e-02 g/l,11.39,7.65
DB00291,305-03-3,3.81,3.94,7.73e-02 g/l,4.46,1.72
DB00293,112887-68-0,1.65,1.97,1.81e-02 g/l,3.72,-0.46
DB00294,54048-10-1,3.19,3.6,7.37e-03 g/l,17.99,-1.5
DB00295,57-27-2,0.99,0.9,1.02e+01 g/l,10.26,9.12
DB00296,84057-95-4,2.91,4.07,2.53e-01 g/l,13.62,7.82
DB00297,38396-39-3,3.31,4.52,9.77e-02 g/l,13.62,8
DB00299,39809-25-1,-0.86,-1.5,7.45e+00 g/l,8.01,2.84
DB00300,201341-05-1,-0.02,2.65,7.12e-01 g/l,18.59,4.13
DB00301,5250-39-5,2.69,2.44,5.45e-02 g/l,3.75,-0.93
DB00302,1197-18-8,-1.4,-1.6,1.82e+01 g/l,4.56,10.22
DB00303,153832-46-3,-0.2,-3.2,2.86e-01 g/l,3.22,9.03
DB00304,54024-22-5,4.3,4.42,3.01e-03 g/l,17.99,-1.5
DB00305,50-07-7,-0.55,-1,1.01e+01 g/l,14.97,5.76
DB00308,122647-31-8,4.72,2.54,4.73e-03 g/l,9.72,10.4
DB00309,53643-48-4,3.53,2.79,7.00e-02 g/l,11.34,8.68
DB00310,77-36-1,1.27,1.6,5.28e-02 g/l,8.76,-2.6
DB00311,452-35-7,1.87,1.6,6.88e-01 g/l,7.51,-1.9
DB00314,11003-38-6,-3.2,-11,1.48e+00 g/l,10.62,10.3
DB00315,139264-17-8,2.25,2.04,1.90e-01 g/l,13,9.55
DB00316,103-90-2,0.51,0.91,4.15e+00 g/l,9.46,-4.4
DB00317,184475-35-2,4.02,3.75,2.70e-02 g/l,16.11,6.85
DB00318,76-57-3,1.2,1.34,5.77e-01 g/l,13.78,9.19
DB00319,66258-76-2,0.67,-0.26,1.19e-01 g/l,3.49,-4.3
DB00320,511-12-6,3.04,2.71,2.29e-01 g/l,9.71,8.39
DB00322,50-91-9,-1.2,-1.3,4.08e+01 g/l,7.68,-3
DB00323,134308-13-7,2.63,3.28,5.69e-02 g/l,5.17,-6.4
DB00324,426-13-1,2.34,2.42,1.66e-02 g/l,12.65,-3.4
DB00326,29039-00-7,-1.9,-4,3.98e+01 g/l,3.38,-3
DB00327,466-99-9,1.69,1.62,4.39e+00 g/l,10.11,8.59
DB00328,53-86-1,4.25,3.53,2.40e-03 g/l,3.79,-2.9
DB00330,74-55-5,-0.12,-0.059,7.58e+00 g/l,14.82,9.55
DB00332,60205-81-4,0.89,-1.8,1.22e-03 g/l,15.15,-2.7
DB00333,76-99-3,4.14,5.01,5.90e-03 g/l,19.79,9.12
DB00334,132539-06-1,3.61,3.39,9.42e-02 g/l,14.17,7.24
DB00335,29122-68-7,0.57,0.43,4.29e-01 g/l,14.08,9.67
DB00336,59-87-0,0.23,-0.14,2.68e-01 g/l,11.79,-2
DB00337,137071-32-0,4.36,6.81,1.52e-03 g/l,9.96,-2.9
DB00338,73590-58-6,1.66,2.43,3.59e-01 g/l,9.29,4.77
DB00339,98-96-4,-0.71,-1.2,9.37e+01 g/l,13.06,-0.68
DB00341,83881-51-0,2.98,0.86,6.58e-02 g/l,3.6,7.79
DB00342,50679-08-8,5.89,6.48,4.58e-04 g/l,13.2,9.02
DB00343,42399-41-7,3.09,2.73,1.68e-02 g/l,12.86,8.18
DB00345,61-78-9,0,-1,3.13e+00 g/l,2.7,4.24
DB00346,81403-80-7,2.02,1.19,2.82e-01 g/l,14.64,7.3
DB00348,104206-65-7,2.06,3.13,8.11e-03 g/l,2.71,-7.3
DB00349,22316-47-8,2.14,2.55,1.64e-01 g/l,4.07,-6.7
DB00350,38304-91-5,1.24,0.00079,1.99e+01 g/l,17.62,1.69
DB00351,595-33-5,3.71,3.72,3.36e-03 g/l,17.83,-4.9
DB00352,154-42-7,-0.36,-0.35,8.34e-01 g/l,10.53,3.7
DB00353,113-42-8,1.74,1.59,2.04e-01 g/l,15,7.93
DB00355,78110-38-0,0.04,-3.1,4.29e-02 g/l,-1.9,4.14
DB00356,95-25-0,2.09,1.94,2.96e+00 g/l,9.39,-2.2
DB00357,125-84-8,1.49,1.3,3.71e-01 g/l,11.69,4.28
DB00358,53230-10-7,3.1,4.11,3.80e-02 g/l,13.79,9.46
DB00359,68-35-9,0.25,0.39,6.01e-01 g/l,6.99,2.01
DB00360,62989-33-7,-1.8,-2.3,2.03e+00 g/l,11.12,4.61
DB00361,71486-22-1,4.39,4.65,1.22e-02 g/l,10.87,8.66
DB00362,166663-25-8,1.87,-1.5,5.64e-02 g/l,9.46,-3.5
DB00363,5786-21-0,3.67,3.4,1.86e-01 g/l,15.9,7.35
DB00364,54182-58-0,0.74,-5.9,7.74e-01 g/l,13.53,-3
DB00365,119914-60-2,-0.12,0.12,6.32e-01 g/l,5.88,8.77
DB00367,797-63-7,3.25,3.66,5.83e-03 g/l,17.91,-1.5
DB00368,51-41-2,-1.4,-0.68,1.25e+01 g/l,9.5,8.85
DB00369,113852-37-2,-2.1,-3.4,1.15e+01 g/l,1.19,2.15
DB00373,26839-75-8,1.44,1.34,2.69e-01 g/l,14.08,9.76
DB00374,81846-19-7,3.53,4,7.31e-03 g/l,3.76,-1.3
DB00376,144-11-6,4.93,4.23,3.14e-03 g/l,13.84,9.32
DB00378,152-62-5,3.27,3.79,4.86e-03 g/l,19.29,-4.8
DB00380,24584-09-6,-1,-2.7,1.04e+01 g/l,11.2,3.6
DB00381,88150-42-9,2.22,1.64,7.40e-03 g/l,19.12,9.45
DB00383,125-53-1,2.89,2.62,5.67e-02 g/l,11.53,8.37
DB00384,396-01-0,1.21,1.11,9.63e-01 g/l,15.88,3.11
DB00385,56124-62-0,2.67,4.49,3.25e-02 g/l,8,-3.4
DB00387,77-37-2,4.13,3.79,9.84e-03 g/l,13.84,9.45
DB00388,59-42-7,-0.69,-0.07,2.20e+01 g/l,9.07,9.69
DB00390,20830-75-5,1.04,2.37,1.27e-01 g/l,7.15,-3
DB00391,15676-16-1,1.2,0.22,5.37e-01 g/l,10.24,8.39
DB00394,08-09-5534,3.69,4.43,2.08e-03 g/l,13.85,-3.3
DB00396,57-83-0,3.58,4.15,5.46e-03 g/l,18.47,-4.8
DB00397,14838-15-4,0.57,0.89,2.06e+01 g/l,13.9,9.37
DB00398,284461-73-0,4.12,4.34,1.71e-03 g/l,11.55,2.03
DB00399,118072-93-8,-0.93,-3.9,3.27e+00 g/l,0.66,6.67
DB00400,126-07-8,2.71,2.17,5.04e-02 g/l,17.69,-4.3
DB00402,138729-47-2,0.97,0.81,8.85e-01 g/l,13.04,6.89
DB00404,28981-97-7,2.23,2.37,3.24e-02 g/l,18.3,5.08
DB00409,80125-14-0,2.94,2.34,1.27e-01 g/l,13.06,8.4
DB00410,12650-69-0,2.25,2.45,2.65e-02 g/l,4.83,-2.7
DB00412,122320-73-4,2.95,2.45,3.80e-02 g/l,6.84,6.23
DB00413,104632-26-0,2.18,1.76,1.40e-01 g/l,17.66,10.31
DB00414,968-81-0,1.72,1.81,4.83e-02 g/l,4.31,-7.4
DB00415,69-53-4,0.88,-2,6.05e-01 g/l,3.24,7.44
DB00416,7601-55-0,0.81,-1.8,1.23e-04 g/l,12.99,-4.3
DB00417,87-08-1,1.78,0.76,4.54e-01 g/l,3.39,-4.9
DB00419,72599-27-0,-1.1,-1.2,3.31e+02 g/l,12.9,8.49
DB00421,52-01-7,3.1,3.64,1.98e-03 g/l,18.01,-4.9
DB00423,532-03-6,0.63,0.45,4.21e+00 g/l,13.6,-3.4
DB00424,101-31-5,2.19,1.57,2.52e+00 g/l,15.15,9.39
DB00426,104227-87-4,0.13,-0.48,1.32e+00 g/l,16.7,5.05
DB00428,18883-66-4,-1.7,-2.7,3.35e+01 g/l,11.43,-3
DB00429,58551-69-2,1.07,2.89,6.22e-02 g/l,4.36,-1.3
DB00430,70797-11-4,0.53,0.15,6.68e-02 g/l,3.32,2.61
DB00432,70-00-8,-0.45,-0.75,6.69e+00 g/l,7.6,-3
DB00436,73-48-3,1.83,1.7,2.14e-01 g/l,9.04,-3.1
DB00437,315-30-0,-0.41,0.031,2.20e+01 g/l,8.47,1.25
DB00438,72558-82-8,-1.2,-4.1,5.73e-03 g/l,2.77,4.26
DB00439,145599-86-6,4.15,2.67,4.19e-03 g/l,4.05,5.58
DB00440,738-70-5,1.26,1.28,6.15e-01 g/l,17.33,7.16
DB00441,95058-81-4,0.14,-1.5,2.23e+01 g/l,11.52,-1.3
DB00442,142217-69-4,-0.81,-1.4,6.59e+00 g/l,8,2.77
